vehiclecount,updatetime,_id,totalspaces,garagecode,streamtime
0,2014-05-22 09:09:04.145,1,65,NORREPORT,2014-11-03 16:18:44
0,2014-05-22 09:09:04.145,2,512,SKOLEBAKKEN,2014-11-03 16:18:44
869,2014-05-22 09:09:04.145,3,1240,SCANDCENTER,2014-11-03 16:18:44
22,2014-05-22 09:09:04.145,4,953,BRUUNS,2014-11-03 16:18:44
124,2014-05-22 09:09:04.145,5,130,BUSGADEHUSET,2014-11-03 16:18:44
106,2014-05-22 09:09:04.145,6,400,MAGASIN,2014-11-03 16:18:44
115,2014-05-22 09:09:04.145,7,210,KALKVAERKSVEJ,2014-11-03 16:18:44
233,2014-05-22 09:09:04.145,8,700,SALLING,2014-11-03 16:18:44
0,2014-05-22 09:39:01.803,9,65,NORREPORT,2014-11-03 16:18:44
0,2014-05-22 09:39:01.803,10,512,SKOLEBAKKEN,2014-11-03 16:18:44
959,2014-05-22 09:39:01.803,11,1240,SCANDCENTER,2014-11-03 16:18:44
22,2014-05-22 09:39:01.803,12,953,BRUUNS,2014-11-03 16:18:44
124,2014-05-22 09:39:01.803,13,130,BUSGADEHUSET,2014-11-03 16:18:44
119,2014-05-22 09:39:01.803,14,400,MAGASIN,2014-11-03 16:18:44
121,2014-05-22 09:39:01.803,15,210,KALKVAERKSVEJ,2014-11-03 16:18:44
282,2014-05-22 09:39:01.803,16,700,SALLING,2014-11-03 16:18:44
0,2014-05-22 10:10:51.543,17,65,NORREPORT,2014-11-03 16:18:44
0,2014-05-22 10:10:51.543,18,512,SKOLEBAKKEN,2014-11-03 16:18:44
1014,2014-05-22 10:10:51.543,19,1240,SCANDCENTER,2014-11-03 16:18:44
22,2014-05-22 10:10:51.543,20,953,BRUUNS,2014-11-03 16:18:44
125,2014-05-22 10:10:51.543,21,130,BUSGADEHUSET,2014-11-03 16:18:44
151,2014-05-22 10:10:51.543,22,400,MAGASIN,2014-11-03 16:18:44
125,2014-05-22 10:10:51.543,23,210,KALKVAERKSVEJ,2014-11-03 16:18:44
369,2014-05-22 10:10:51.543,24,700,SALLING,2014-11-03 16:18:44
22,2014-05-22 10:40:24.706,28,953,BRUUNS,2014-11-03 16:18:44
0,2014-05-22 10:40:24.706,25,65,NORREPORT,2014-11-03 16:18:44
0,2014-05-22 10:40:24.706,26,512,SKOLEBAKKEN,2014-11-03 16:18:44
1045,2014-05-22 10:40:24.706,27,1240,SCANDCENTER,2014-11-03 16:18:44
144,2014-05-22 10:40:24.706,29,130,BUSGADEHUSET,2014-11-03 16:18:44
